cleaned_negative,polarity_negative,sentiment,Score,GuestCountry,RoomType,GroupType,visit_month,visit_year
garbag truck am make lot nois,0.0,positive,9.0,Poland,Double Room with Balcony,Couple,5,2022
,0.0,positive,9.0,Israel,Double Room,Couple,5,2022
book room one bed fact separ bed one warn uncomfort husband sleep move mattress known begin would room one bed would chosen anoth hotel spoil impress,0.0,positive,8.0,Ukraine,Double Room,Couple,5,2022
,0.0,positive,10.0,Israel,Double Room with Balcony,Couple,5,2022
didnt balconi wasnt bad though one night,-0.6999999999999998,positive,8.0,Germany,Double Room,Couple,5,2022
noisi air condit night traffic area,0.0,positive,8.0,Czech Republic,Double Room,Couple,5,2022
noth complain,0.0,positive,10.0,Germany,Double Room,Solo traveler,5,2022
,0.0,positive,10.0,France,Two-Bedroom Suite,Family,4,2022
,0.0,positive,8.0,Switzerland,Double Room,Solo traveler,5,2022
bit far citi center taxi cost u price anywher citi critic stun place,0.0,positive,10.0,Israel,Double Room with Balcony,Family,4,2022
,0.0,positive,9.0,Cyprus,Standard Triple Room,Couple,5,2022
,0.0,positive,10.0,Austria,Double Room with Balcony,Solo traveler,5,2022
wifi weak time,-0.375,positive,8.0,Germany,Double Room,Solo traveler,5,2022
anyth,0.0,positive,10.0,Colombia,Standard Triple Room,Couple,5,2022
,0.0,positive,10.0,France,Two-Bedroom Suite,Family,5,2022
,0.0,positive,9.0,Germany,Double Room with Balcony,Solo traveler,4,2022
,0.0,positive,10.0,Spain,Double Room with Balcony,Family,4,2022
,0.0,positive,10.0,Poland,Double Room with Balcony,Solo traveler,4,2022
,0.0,positive,10.0,Israel,Two-Bedroom Suite,Family,4,2022
,0.0,positive,10.0,Germany,Standard Triple Room,Family,4,2022
everyth perfect,1.0,positive,10.0,Cyprus,Double Room with Balcony,Group,4,2022
,0.0,positive,10.0,Israel,Standard Triple Room,Family,4,2022
humid air room warm air condit probabl didnt work properli,0.6,positive,9.0,Germany,Double Room,Couple,4,2022
well,0.0,positive,10.0,Denmark,Double Room with Balcony,Couple,4,2022
,0.0,positive,10.0,Hungary,Double Room with Balcony,Couple,4,2022
would like varieti breakfast price food ratio disproportion,0.0,positive,8.0,Cyprus,Double Room with Balcony,Group,4,2022
hair dryer,0.0,positive,9.0,France,Double Room,Solo traveler,3,2022
,0.0,positive,9.0,Croatia,Double Room,Couple,1,2022
,0.0,positive,10.0,Ukraine,Double Room,Group,1,2022
,0.0,positive,10.0,Russia,Double Room,Couple,12,2021
mayb recept need improv old furnitur,0.1,positive,9.0,Italy,Double Room with Balcony,Group,11,2021
room small could bit spaciou everyth fine met expect,0.08333333333333334,positive,9.0,Ukraine,Double Room,Couple,11,2021
,0.0,positive,10.0,Ukraine,Family Suite with Balcony,Family,1,2022
,0.0,positive,10.0,Russia,Double Room,Solo traveler,11,2021
noth complain,0.0,positive,10.0,Russia,Double Room,Couple,10,2021
draw number,0.0,positive,8.0,Ukraine,Standard Triple Room,Family,12,2021
minu sometim car came pick garbag can night precis car pour depth worri nois sleep expens tourist also mirror room plenti distort imag rather made fatter everyth els plu,0.0,positive,9.0,Russia,Double Room with Balcony,Couple,9,2021
hotel far airport bit far citi center,0.03333333333333333,positive,9.0,France,Double Room,Solo traveler,11,2021
,0.0,positive,10.0,Norway,Double Room,Couple,12,2021
,0.0,positive,9.0,Greece,Double Room,Couple,11,2021
,0.0,positive,10.0,Germany,Double Room with Balcony,Family,11,2021
noisi area ring sound accumul terribl forc night constantli woke either sound airplan pass car slam trunk earplug save,0.4,positive,8.0,Russia,Double Room with Balcony,Solo traveler,11,2021
,0.0,positive,10.0,Norway,Double Room,Couple,11,2021
sleep lightli disturb aircraft nois tire sleep,0.0,positive,8.0,Germany,Double Room,Couple,11,2021
beauti accommod unfortun night fertil larnaca whole citi stank perhap shortliv,0.2,positive,9.0,Czech Republic,Standard Triple Room,Group,10,2021
pool infrastructur,0.0,positive,8.0,Poland,Standard Triple Room,Family,10,2021
,0.0,positive,10.0,Austria,Double Room with Balcony,Family,11,2021
bed soft lot plastic therefor sweati middl night garbag contain empti lot nois,0.1,positive,8.0,Netherlands,Double Room with Balcony,Couple,11,2021
bed bit uncomfort unfortun organ taxi came late bit chaotic even hotel cannot anyth,-0.3,positive,9.0,Germany,Double Room with Balcony,Solo traveler,10,2021
mackenzi beach noisi windi like long vacat,-0.05,positive,10.0,Ukraine,Double Room,Family,10,2021
,0.0,positive,8.0,Israel,Two-Bedroom Suite,Family,9,2021
,0.0,positive,10.0,Ukraine,Double Room,Couple,10,2021
except welcom french proxim airport nearbi bu stop provid access citi center airport cleanli design room,-0.05,positive,10.0,France,Double Room with Balcony,Couple,10,2021
unfortun pool close,0.0,positive,10.0,Germany,Double Room with Balcony,Solo traveler,10,2021
,0.0,positive,8.0,Germany,Family Suite with Balcony,Group,10,2021
,0.0,positive,10.0,Poland,Double Room with Balcony,Couple,10,2021
,0.0,positive,10.0,Russia,Double Room with Balcony,Family,10,2021
everyth ok,0.5,positive,9.0,Germany,Double Room,Solo traveler,10,2021
shower door curtain take shower drop fall floor wifi enough phone enough laptop shop nearbi,0.0,positive,10.0,Russia,Double Room with Balcony,Family,10,2021
,0.0,positive,8.0,Germany,Double Room with Balcony,Solo traveler,10,2021
right,0.2857142857142857,positive,9.0,Spain,Double Room with Balcony,Couple,10,2021
lot nois hallway,0.0,positive,8.0,France,Double Room with Balcony,Couple,10,2021
,0.0,positive,8.0,Russia,Double Room with Balcony,Family,10,2021
addit liquid soap mean bring along shampoo soap gel etc,-0.3125,positive,8.0,Russia,Double Room with Balcony,Solo traveler,10,2021
,0.0,positive,9.0,Germany,Standard Triple Room,Family,10,2021
,0.0,positive,8.0,Germany,Standard Triple Room,Group,9,2021
nois discotheque…,0.0,positive,9.0,France,Double Room with Balcony,Couple,10,2021
,0.0,positive,10.0,Russia,Double Room with Balcony,Couple,9,2021
,0.0,positive,10.0,France,Double Room with Balcony,Couple,9,2021
breakfast probabl weakest link hotel,0.0,positive,9.0,Israel,Family Suite with Balcony,Couple,9,2021
,0.0,positive,10.0,Poland,Double Room with Balcony,Couple,9,2021
,0.0,positive,10.0,Greece,Double Room with Balcony,Couple,9,2021
thin wall everyth heard oclock morn woke fact garbag truck load tank,-0.4,positive,8.0,Russia,Double Room,Couple,9,2021
,0.0,positive,10.0,Ukraine,Standard Triple Room,Group,9,2021
quilt warm summer,0.6,positive,10.0,Israel,Family Suite with Balcony,Family,8,2021
bad swim pool indic book site recept hotel,-0.6999999999999998,positive,9.0,France,Double Room with Balcony,Solo traveler,9,2021
tomorrow quit meager euro room small bed meter time clean tidi area near hotel wasteland wasteland noth importantli go nearbi cafesrestaur never terribl dinner,-0.09583333333333333,positive,7.9,Russia,Standard Triple Room,Couple,8,2021
,0.0,positive,9.0,France,Double Room,Couple,9,2021
,0.0,positive,10.0,France,Double Room,Couple,9,2021
cant even rememb,0.0,positive,10.0,Russia,Double Room with Balcony,Couple,7,2021
electr kettl didnt seem work that detail,0.0,positive,8.0,France,Double Room with Balcony,Solo traveler,8,2021
,0.0,positive,10.0,Ukraine,Standard Triple Room,Group,8,2021
small room one nescaf bag curtain bathroom better remov photo pool sinc hole,0.125,positive,8.0,Italy,Double Room with Balcony,Group,8,2021
,0.0,positive,10.0,Russia,Double Room with Balcony,Family,8,2021
room bit small son sleep starter,-0.25,positive,8.0,Poland,Standard Triple Room,Family,8,2021
ra,0.0,positive,10.0,France,Double Room with Balcony,Family,8,2021
ra,0.0,positive,10.0,France,Family Suite with Balcony,Family,8,2021
,0.0,positive,9.0,Russia,Double Room with Balcony,Solo traveler,8,2021
,0.0,positive,10.0,Poland,Double Room with Balcony,Solo traveler,8,2021
,0.0,positive,8.0,Cyprus,Standard Triple Room,Family,8,2021
small room famili,-0.25,positive,10.0,Russia,Family Suite with Balcony,Family,8,2021
,0.0,positive,10.0,Cyprus,Double Room with Balcony,Solo traveler,8,2021
,0.0,positive,9.0,Russia,Double Room with Balcony,Couple,7,2021
,0.0,positive,10.0,Spain,Two-Bedroom Suite,Family,7,2021
swim pool small dirti,-0.25,positive,8.0,Netherlands,Two-Bedroom Suite,Family,7,2021
,0.0,positive,9.0,Cyprus,Double Room with Balcony,Solo traveler,7,2021
nice close airport,0.6,positive,9.0,Israel,Double Room with Balcony,Couple,7,2021
,0.0,positive,9.0,Cyprus,Standard Triple Room,Group,7,2021
,0.0,positive,9.6,France,Standard Triple Room,Family,7,2021
lack adapt socket room staff promis fix,0.0,positive,8.0,Ukraine,Double Room with Balcony,Group,6,2021
,0.0,positive,8.0,Spain,Double Room with Balcony,Solo traveler,7,2021
trash room,0.0,positive,10.0,Russia,Double Room with Balcony,Solo traveler,7,2021
street hotel locat,0.0,positive,9.0,Netherlands,Double Room with Balcony,Couple,7,2021
,0.0,positive,8.0,Switzerland,Family Suite with Balcony,Family,7,2021
nice staff,0.6,positive,10.0,Poland,Double Room with Balcony,Family,7,2021
shower water often overflow bathroom drain work well,0.0,positive,9.0,Russia,Double Room with Balcony,Couple,7,2021
tv channel,0.0,positive,10.0,Turkey,Standard Triple Room,Solo traveler,7,2021
,0.0,positive,10.0,Germany,Double Room with Balcony,Couple,7,2021
construct attitud staff,0.0,positive,9.0,Hungary,Standard Triple Room,Family,7,2021
noisi disco mackenzi,0.0,positive,10.0,Russia,Double Room with Balcony,Group,7,2021
restaur beach go intens road,0.0,positive,10.0,Russia,Two-Bedroom Suite,Family,7,2021
,0.0,positive,10.0,Ukraine,Double Room with Balcony,Couple,6,2021
noth everyth perfect,1.0,positive,10.0,France,Double Room with Balcony,Solo traveler,6,2021
proxim airport nuanc nois plane take smell jet fuel audibl near beach night disco also make difficult sleep,-0.2,positive,8.0,Ukraine,Double Room with Balcony,Couple,6,2021
,0.0,positive,10.0,Ukraine,Double Room with Balcony,Solo traveler,6,2021
everyth fine,0.4166666666666667,positive,10.0,Ukraine,Double Room with Balcony,Family,6,2021
see hotel young everyth perfect yet staff everyth possibl compens inconveni,0.55,positive,8.0,Ukraine,Family Suite with Balcony,Group,6,2021
,0.0,positive,10.0,Ukraine,Double Room with Balcony,Family,6,2021
alreadi talk staff prepar lot pool play room roof garden,0.0,positive,10.0,Cyprus,Double Room with Balcony,Family,6,2021
,0.0,positive,9.0,Germany,Double Room with Balcony,Solo traveler,6,2021
excel valu money noth say,0.0,positive,10.0,Belgium,Double Room with Balcony,Solo traveler,6,2021
,0.0,positive,9.0,Israel,Double Room with Balcony,Solo traveler,6,2021
,0.0,positive,10.0,Switzerland,Double Room with Balcony,Solo traveler,5,2021
run water morn left dont chang normal take shower,0.075,neutral,6.0,Ukraine,Double Room with Balcony,Solo traveler,11,2022
nois uncomfort bed,0.0,negative,3.0,Israel,Two-Bedroom Suite,Family,10,2022
clean,0.3666666666666667,neutral,6.0,Israel,Double Room with Balcony,Family,10,2022
close airport advertis,0.0,neutral,7.0,Denmark,Double Room,Couple,10,2022
sound airport,0.4,neutral,6.0,Poland,Double Room with Balcony,Family,9,2022
breakfast time,0.0,neutral,7.0,France,Budget Twin Room,Family,8,2022
like behavior gentleman reserv assur breakfast price room upon arriv refus provid breakfast unaccept manner without even speak cypriot languag dissatisfact choic great,0.8,neutral,7.0,Greece,Double Room with Balcony,Family,9,2022
frozen water bath,0.0,neutral,7.0,Israel,Double Room,Couple,8,2022
minibar empti work annoy arriv midnight look forward beer,0.0,neutral,7.0,Austria,Double Room,Solo traveler,9,2022
hotel suitabl overnight stay small room view,-0.25,neutral,7.0,India,Double Room with Balcony,Couple,8,2022
staff night,0.0,neutral,6.0,Israel,Double Room,Family,7,2022
room next anoth properti pool despit much nois shout unabl rest,0.1,neutral,5.0,Cyprus,Family Suite with Balcony,Family,6,2022
extrem noisi,0.0,neutral,7.0,Germany,Double Room with Balcony,Couple,7,2022
,0.0,neutral,7.0,Italy,Double Room,Couple,6,2022
qualitypric ratio sleep air condit summer lot nois nearbi beach earli morn,0.0,neutral,7.0,Greece,Double Room with Balcony,Couple,6,2022
,0.0,neutral,7.0,Germany,Double Room with Balcony,Couple,6,2022
would nice breakfast buffet,0.6,neutral,7.0,Germany,Double Room with Balcony,Solo traveler,5,2022
minut wait bad half raw croissant wateri cappuccino,-0.3658119658119658,neutral,7.0,Italy,Double Room,Couple,4,2022
receptionist didnt understand english well staff could give inform bu airport,0.0,neutral,6.0,Austria,Double Room,Solo traveler,4,2022
lack adapt socket,0.0,neutral,7.0,Italy,Family Suite with Balcony,Group,3,2022
soundproof,0.0,neutral,7.0,Sweden,Double Room with Balcony,Couple,11,2021
warm blanket slightli untidi floor smell littl sewag,0.6,neutral,7.0,Sweden,Two-Bedroom Suite,Family,10,2021
room smell sewag never like definit minu prevent come,0.0,neutral,6.0,Finland,Double Room with Balcony,Couple,10,2021
nois eman terrac locat st floor,0.0,neutral,7.0,France,Double Room with Balcony,Couple,10,2021
except one gentleman recept employe wear mask small room almost nonexist storag space extrem small balconi thin wall night heard travel check oclock morn garbag pick street infern mess oclock morn tri open door balconi close throw instantli seem farm nearbi smell like concentr manur adapt found room burnedmelt phone charger,-0.215,negative,3.0,Romania,Double Room with Balcony,Couple,10,2021
photo room book cant see column take space uncomfort balconi first floor low intim close street hotel lobbi even smell smoke cigarett smoke safe make sens sinc wall matter leav money bag could put shampoo bathroom soap sinc kettl room er two peopl could put coffe sachet tea sachet,0.25,neutral,7.0,Argentina,Double Room with Balcony,Couple,10,2021
room given one book small corner,-0.25,negative,3.0,Russia,Double Room with Balcony,Solo traveler,9,2021
far beach hotel averag star euro night bit expens window overlook courtyard quit noisi,0.1,neutral,7.0,Lithuania,Family Suite with Balcony,Family,9,2021
monoton breakfast everyday set egg slice toast grill mushroom grill tomato pepper small sausag coffe relax zone swim pool deckchair billiard definit encourag use,-0.225,neutral,6.0,Poland,Double Room with Balcony,Group,9,2021
live week bed linen never chang clean chang towel daili number microscop rent nissan micra refriger full minibar money pull everyth product would fit hotel allow turn coupl hour delay plane walk promenad larnaca minut lidl hour half hotel realli one night,0.21727272727272723,neutral,6.0,Russia,Double Room with Balcony,Group,9,2021
constant stench come outsid lack storag space,0.0,neutral,7.0,Greece,Double Room with Balcony,Couple,8,2021
breakfast delici eat bring fruit van drove window almost everi day earli morn seller shout mouthpiec walk distanc center within walk distanc mackenzi beach parti cafe poor soundproof corridor,-0.25,neutral,6.0,Russia,Double Room with Balcony,Solo traveler,8,2021
couldnt close one window,0.0,positive,9.0,Czech Republic,,Family,8,2022
,0.0,positive,10.0,Lebanon,,Family,8,2022
difficulti differ socket provid devic without adapt,0.0,positive,8.0,Greece,,Family,7,2022
noth,0.0,positive,10.0,France,,Couple,5,2022
,0.0,positive,9.0,Germany,,Solo traveler,3,2022
,0.0,positive,10.0,Russia,,Family,11,2021
,0.0,positive,10.0,France,,Couple,10,2021
noth except breakfast serv bar next door frugal price slow servic,-0.15000000000000002,positive,10.0,France,,Couple,10,2021
,0.0,positive,10.0,Russia,,Family,10,2021
bed frame structur danger sharp corner,-0.125,positive,8.0,Finland,,Group,10,2021
,0.0,positive,10.0,Israel,,Couple,10,2021
,0.0,positive,10.0,Russia,,Solo traveler,9,2021
,0.0,positive,10.0,Israel,,Couple,7,2021
baddegrad area garbag heap bin next hotel clean insid mislead photo,0.18333333333333335,neutral,6.0,Spain,,Group,6,2021
